rgi_id,glac_name,termlat,termlon,cenlat,cenlon,slope_deg,area_km2,zmin_m,zmax_m
RGI2000-v7.0-G-14-35758,CN5Q222A0063,30.621213192333947,80.24473230593448,30.618474,80.24646713693667,21.343992,0.119572231919633,5637.6143,5898.0835
RGI2000-v7.0-G-14-35761,CN5Q222A0060,30.59890236208507,80.26349166445094,30.6016705,80.26289175747864,27.099257,0.140321026759146,5681.5195,6071.9683
RGI2000-v7.0-G-14-35763,,30.57098529599656,80.24184858182505,30.5722825,80.24267975035099,39.85856,0.067898306933266,5748.016,6002.459
RGI2000-v7.0-G-14-35764,,30.594388363163205,80.2337218785618,30.593393,80.22817301434573,24.527098,0.277606463525517,5570.029,6013.682
RGI2000-v7.0-G-14-35766,,30.557130693861485,80.28019598160142,30.5627205,80.28245092267264,20.497486,0.814992454854922,5186.6914,5797.283
RGI2000-v7.0-G-14-35768,CN5Q222A0056,30.58237709921002,80.32224198585665,30.571163,80.3195463606045,20.583334,2.130009268060908,5323.6846,6204.642
RGI2000-v7.0-G-14-35769,CN5Q222A0056,30.572235058069317,80.32803759043918,30.568846999999998,80.33015827139423,21.054323,0.175711241260772,5487.0303,5785.2188
RGI2000-v7.0-G-14-35770,CN5Q222A0040,30.567305548119688,80.3361131065052,30.5663515,80.33510584102132,31.736568,0.072076781669568,5662.3936,5850.72
RGI2000-v7.0-G-14-35771,,30.582384607620657,80.34452426219084,30.580258,80.34386270356372,27.300047,0.079741164097756,5623.1514,5944.9604
RGI2000-v7.0-G-14-35772,CN5Q222A0052,30.57119538862085,80.35953760589095,30.566187,80.35821015903095,22.82957,0.325933196031292,5563.9517,5926.248
RGI2000-v7.0-G-14-35773,CN5Q222A0051,30.565449764728022,80.36372163144343,30.564659,80.36302586203718,26.631428,0.052292112795393,5619.2188,5768.77
RGI2000-v7.0-G-14-35774,,30.563034704132498,80.3618810265548,30.561881,80.36171904815915,26.117607,0.03659113083132,5845.513,5938.778
RGI2000-v7.0-G-14-35776,CN5Q222A0047,30.58020338123453,80.38614949654803,30.579031999999998,80.38515881666666,21.152216,0.07510965900796,5703.276,5855.214
RGI2000-v7.0-G-14-35779,CN5Q222A0049,30.60351817250052,80.37972420037448,30.6006995,80.38113841773855,25.746513,0.175273907274694,5753.924,5986.0747
RGI2000-v7.0-G-14-35780,CN5Q222A0046,30.596806933394223,80.40418574922714,30.593708499999998,80.4008750028045,32.40797,0.201327191158854,5503.275,5931.269
RGI2000-v7.0-G-14-35787,CN5Q222A0055,30.6004571107208,80.33166830483347,30.598406,80.33253366643758,25.664207,0.082096823249142,5634.3535,5856.0796
RGI2000-v7.0-G-14-35789,,30.597885140186918,80.3104539360469,30.594982,80.31081928988763,25.723612,0.140426476323952,5473.031,5719.6533
RGI2000-v7.0-G-14-35790,,30.600661937814994,80.30529656712669,30.598858999999997,80.30533619664754,35.407326,0.051999577021637,5392.328,5659.965
RGI2000-v7.0-G-14-35791,,30.587222353453136,80.30825650346178,30.5866245,80.30892206626592,22.776169,0.021469191416758,5592.781,5658.8057
RGI2000-v7.0-G-14-35792,,30.548978943473735,80.44796007628791,30.5482395,80.44843920742183,33.93196,0.019830655784277,5680.0527,5808.816
RGI2000-v7.0-G-14-35793,,30.55066929733028,80.4528208355463,30.5496325,80.45295119886364,40.320435,0.022557084868752,5573.841,5759.5054
RGI2000-v7.0-G-14-35794,CN5Q222A0032,30.550841221796937,80.47045534485933,30.542962000000003,80.45848771953166,25.026947,1.264223538296424,5301.9,6098.7534
RGI2000-v7.0-G-14-35795,CN5Q222A0032,30.54726269026668,80.4701693524181,30.540908,80.46822730987961,26.316296,0.52454882304731,5353.3433,6046.6387
RGI2000-v7.0-G-14-35797,,30.52669665351096,80.45500526304723,30.526035,80.45672208025466,45.006886,0.026256963678388,5597.1963,5885.9165
RGI2000-v7.0-G-14-35800,,30.51208406068798,80.50489531502465,30.5066615,80.50034994270834,27.931484,0.36604226517368,5269.91,6010.6826
RGI2000-v7.0-G-14-35801,,30.5104971780832,80.50809347903258,30.5052005,80.50609334839208,23.731825,0.570568491794129,5317.925,5969.0415
RGI2000-v7.0-G-14-35803,CN5Q222A0023,30.48781161963445,80.5270471613561,30.48541,80.52850137882096,24.779726,0.11011866816737,5527.4077,5754.4644
RGI2000-v7.0-G-14-35804,,30.494371159682494,80.53123404318629,30.493459,80.53279070331158,35.501602,0.035101785948823,5548.7554,5781.6123
